BORONAME,TYPE,PROVIDER,LAT,LON,LOCATION_T,CITY,BOROCODE
Manhattan,Free,Harlem,40.810178,-73.948924,Outdoor,New York,1
Manhattan,Free,Harlem,40.811266,-73.950126,Outdoor,New York,1
Manhattan,Free,Harlem,40.81026,-73.93951,Outdoor,New York,1
Manhattan,Free,Harlem,40.806413,-73.940149,Outdoor,New York,1
Manhattan,Free,Harlem,40.807092,-73.939714,Outdoor,New York,1
Manhattan,Free,Harlem,40.807594,-73.939065,Outdoor,New York,1
Manhattan,Free,Harlem,40.815114,-73.941112,Outdoor,New York,1
Manhattan,Free,Harlem,40.809617,-73.942117,Outdoor,New York,1
Manhattan,Free,Harlem,40.811198,-73.943866,Outdoor,New York,1
Manhattan,Free,Harlem,40.812037,-73.946231,Outdoor,New York,1
Manhattan,Free,Harlem,40.813366,-73.948843,Outdoor,New York,1
Manhattan,Free,Harlem,40.812628,-73.945444,Outdoor,New York,1
Manhattan,Free,Harlem,40.812418,-73.944689,Outdoor,New York,1
Manhattan,Free,Harlem,40.811841,-73.942725,Outdoor,New York,1
Manhattan,Free,Harlem,40.813986,-73.948359,Outdoor,New York,1
Manhattan,Free,Harlem,40.814125,-73.946993,Outdoor,New York,1
Manhattan,Free,Harlem,40.813122,-73.944376,Outdoor,New York,1
Manhattan,Free,Harlem,40.811835,-73.94135,Outdoor,New York,1
Manhattan,Free,Harlem,40.810795,-73.938925,Outdoor,New York,1
Manhattan,Free,Harlem,40.816089,-73.946688,Outdoor,New York,1
Manhattan,Free,Harlem,40.81393,-73.944955,Outdoor,New York,1
Manhattan,Free,Harlem,40.815693,-73.947008,Outdoor,New York,1
Manhattan,Free,Harlem,40.809559,-73.943417,Outdoor,New York,1
Manhattan,Free,Harlem,40.811575,-73.938453,Outdoor,New York,1
Manhattan,Free,Harlem,40.812002,-73.936231,Outdoor,New York,1
Manhattan,Free,Harlem,40.813502,-73.937185,Outdoor,New York,1
Manhattan,Free,Harlem,40.814205,-73.936726,Outdoor,New York,1
Manhattan,Free,Harlem,40.816677,-73.946392,Outdoor,New York,1
Manhattan,Free,Harlem,40.814952,-73.938941,Outdoor,New York,1
Manhattan,Free,Harlem,40.815803,-73.940812,Outdoor,New York,1
Manhattan,Free,Harlem,40.811236,-73.936507,Outdoor,New York,1
Manhattan,Free,Harlem,40.813713,-73.941262,Outdoor,New York,1
Manhattan,Free,Harlem,40.809357,-73.944461,Outdoor,New York,1
Manhattan,Free,Harlem,40.813646,-73.940053,Outdoor,New York,1
Manhattan,Free,Harlem,40.813434,-73.939112,Outdoor,New York,1
Manhattan,Free,Harlem,40.811138,-73.942846,Outdoor,New York,1
Manhattan,Free,Harlem,40.809672,-73.944004,Outdoor,New York,1
Manhattan,Free,Harlem,40.812491,-73.942248,Outdoor,New York,1
Manhattan,Free,Harlem,40.812944,-73.941693,Outdoor,New York,1
Manhattan,Free,Harlem,40.815705,-73.939519,Outdoor,New York,1
Manhattan,Free,Harlem,40.801951,-73.953554,Outdoor,New York,1
Manhattan,Free,Harlem,40.800652,-73.954616,Outdoor,New York,1
Manhattan,Free,Harlem,40.802298,-73.952405,Outdoor,New York,1
Manhattan,Free,Harlem,40.800546,-73.952427,Outdoor,New York,1
Manhattan,Free,Harlem,40.803511,-73.952942,Outdoor,New York,1
Manhattan,Free,Harlem,40.798102,-73.950349,Outdoor,New York,1
Manhattan,Free,Harlem,40.799928,-73.954549,Outdoor,New York,1
Manhattan,Free,Harlem,40.801053,-73.950042,Outdoor,New York,1
Manhattan,Free,Harlem,40.796528,-73.948492,Outdoor,New York,1
Manhattan,Free,Harlem,40.799151,-73.947499,Outdoor,New York,1
Manhattan,Free,Harlem,40.800592,-73.946685,Outdoor,New York,1
Manhattan,Free,Harlem,40.80135,-73.945756,Outdoor,New York,1
Manhattan,Free,Harlem,40.802684,-73.945158,Outdoor,New York,1
1,Free,AT,T,40.7721,-73.9771,Outdoor,New York
1,Free,AT,T,40.768,-73.9712,Outdoor,New York
Brooklyn,Limited Free,SPECTRUM,40.663094,-73.976292,Outdoor TWC Aerial,Brooklyn,3
Brooklyn,Limited Free,SPECTRUM,40.663381,-73.976083,Outdoor TWC Aerial,Brooklyn,3
Queens,Limited Free,SPECTRUM,40.675979,-73.765364,Outdoor TWC Aerial,Queens,4
Queens,Limited Free,SPECTRUM,40.679472,-73.770693,Outdoor TWC Aerial,Queens,4
Queens,Limited Free,SPECTRUM,40.679963,-73.767752,Outdoor TWC Aerial,Queens,4
Manhattan,Limited Free,SPECTRUM,40.785958,-73.985075,Outdoor,New York,1
Manhattan,Limited Free,SPECTRUM,40.71025,-73.99798,Outdoor,New York,1
1,Free,AT,T,40.8292,-73.9361,Outdoor,New York
1,Free,AT,T,40.8048,-73.9443,Outdoor,New York
Manhattan,Limited Free,SPECTRUM,40.71025,-73.99798,Indoor,New York,1
Queens,Limited Free,SPECTRUM,40.739353,-73.736825,Outdoor,Queens,4
Queens,Limited Free,SPECTRUM,40.739547,-73.73592,Outdoor,Queens,4
Queens,Limited Free,SPECTRUM,40.739739,-73.735041,Outdoor,Queens,4
Queens,Limited Free,SPECTRUM,40.739909,-73.73458,Outdoor,Queens,4
1,Free,AT,T,40.7016,-74.0149,Outdoor,New York
1,Free,AT,T,40.703,-74.0168,Outdoor,New York
Queens,Limited Free,SPECTRUM,40.740214,-73.734311,Outdoor,Queens,4
Queens,Limited Free,SPECTRUM,40.75797,-73.825241,Outdoor TWC Aerial,Queens,4
Queens,Limited Free,SPECTRUM,40.75858,-73.825078,Outdoor TWC Aerial,Queens,4
Brooklyn,Limited Free,SPECTRUM,40.696675,-73.997656,Outdoor,Brooklyn,3
Brooklyn,Limited Free,SPECTRUM,40.696989,-73.997486,Outdoor,Brooklyn,3
Brooklyn,Limited Free,SPECTRUM,40.697344,-73.997333,Outdoor,Brooklyn,3
Brooklyn,Limited Free,SPECTRUM,40.697669,-73.997183,Outdoor,Brooklyn,3
Brooklyn,Limited Free,SPECTRUM,40.698103,-73.996944,Outdoor,Brooklyn,3
Brooklyn,Limited Free,SPECTRUM,40.696732,-73.990349,Outdoor,Brooklyn,3
Manhattan,Limited Free,SPECTRUM,40.749908,-74.00089,Outdoor,New York,1
Manhattan,Free,NYPL,40.71548815,-74.01621384,Library,New York,1
Brooklyn,Free,BPL,40.60569034,-73.98623163,Library,Brooklyn,3
Brooklyn,Free,BPL,40.62306453,-73.98944677,Library,Brooklyn,3
Manhattan,Limited Free,SPECTRUM,40.749783,-74.000711,Outdoor,New York,1
Manhattan,Limited Free,SPECTRUM,40.74827,-74.002068,Indoor,New York,1
Manhattan,Limited Free,SPECTRUM,40.712307,-74.006961,Outdoor,New York,1
Manhattan,Limited Free,SPECTRUM,40.70935,-74.009903,Outdoor,New York,1
Staten Island,Limited Free,SPECTRUM,40.618064,-74.108186,Outdoor,Staten Island,5
Queens,Free,QPL,40.70787313,-73.79467804,Library,Jamaica,4
Queens,Free,QPL,40.71294357,-73.88086427,Library,Middle Village,4
Queens,Free,QPL,40.74293095,-73.82516996,Library,Flushing,4
Manhattan,Free,NYPL,40.80301816,-73.93484756,Library,New York,1
Brooklyn,Free,BPL,40.67234353,-73.96822438,Library,Brooklyn,3
Brooklyn,Free,BPL,40.64591212,-74.01363,Library,Brooklyn,3
Manhattan,Free,NYPL,40.79421561,-73.94345108,Library,New York,1
Brooklyn,Free,BPL,40.68737909,-73.96603067,Library,Brooklyn,3
Manhattan,Free,Manhattan Down Alliance,40.7071991,-74.0037003,Outdoor,New York,1
Manhattan,Free,Manhattan Down Alliance,40.7070999,-74.0036011,Outdoor,New York,1
Manhattan,Free,Manhattan Down Alliance,40.7070007,-74.0035019,Outdoor,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.788832,-73.970335,Outdoor Kiosk,New York,1
Queens,Free,LinkNYC - Citybridge,40.748551,-73.875775,Outdoor Kiosk,Queens,4
Queens,Free,LinkNYC - Citybridge,40.748049,-73.879386,Outdoor Kiosk,Queens,4
Manhattan,Free,LinkNYC - Citybridge,40.746868,-73.97452,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.746251,-73.990506,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.742301,-73.99683,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.763891,-73.962087,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.789182,-73.970075,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.740772,-73.998204,Outdoor Kiosk,New York,1
Queens,Free,LinkNYC - Citybridge,40.74909,-73.871817,Outdoor Kiosk,Queens,4
Brooklyn,Free,LinkNYC - Citybridge,40.652771,-73.94987,Outdoor Kiosk,Brooklyn,3
Manhattan,Free,LinkNYC - Citybridge,40.724614,-73.987336,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.729436,-73.983824,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.745986,-73.984492,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.849423,-73.933529,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.759234,-73.965504,Outdoor Kiosk,New York,1
Bronx,Free,LinkNYC - Citybridge,40.853881,-73.908662,Outdoor Kiosk,Bronx,2
Queens,Free,LinkNYC - Citybridge,40.763553,-73.928514,Outdoor Kiosk,Queens,4
Queens,Free,LinkNYC - Citybridge,40.762464,-73.926262,Outdoor Kiosk,Queens,4
Queens,Free,LinkNYC - Citybridge,40.761341,-73.92387,Outdoor Kiosk,Queens,4
Queens,Free,LinkNYC - Citybridge,40.747543,-73.884098,Outdoor Kiosk,Queens,4
Bronx,Free,LinkNYC - Citybridge,40.816692,-73.916719,Outdoor Kiosk,Bronx,2
Manhattan,Free,LinkNYC - Citybridge,40.76777,-73.955691,Outdoor Kiosk,New York,1
Queens,Free,LinkNYC - Citybridge,40.742211,-73.918995,Outdoor Kiosk,Queens,4
Brooklyn,Free,LinkNYC - Citybridge,40.708922,-73.94339,Outdoor Kiosk,Brooklyn,3
Queens,Free,LinkNYC - Citybridge,40.74218,-73.918733,Outdoor Kiosk,Queens,4
Brooklyn,Free,LinkNYC - Citybridge,40.687594,-73.987068,Outdoor Kiosk,Brooklyn,3
Manhattan,Free,LinkNYC - Citybridge,40.728622,-73.984419,Outdoor Kiosk,New York,1
Bronx,Free,LinkNYC - Citybridge,40.847574,-73.900766,Outdoor Kiosk,Bronx,2
Brooklyn,Free,LinkNYC - Citybridge,40.663827,-73.950775,Outdoor Kiosk,Brooklyn,3
Manhattan,Free,LinkNYC - Citybridge,40.820796,-73.943285,Outdoor Kiosk,New York,1
Queens,Free,LinkNYC - Citybridge,40.763,-73.913259,Outdoor Kiosk,Queens,4
Brooklyn,Free,LinkNYC - Citybridge,40.66355,-73.991246,Outdoor Kiosk,Brooklyn,3
Brooklyn,Free,LinkNYC - Citybridge,40.641858,-73.962836,Outdoor Kiosk,Brooklyn,3
Brooklyn,Free,LinkNYC - Citybridge,40.674266,-73.950234,Outdoor Kiosk,Brooklyn,3
Manhattan,Free,LinkNYC - Citybridge,40.821828,-73.939286,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.807779,-73.945253,Outdoor Kiosk,New York,1
Brooklyn,Free,LinkNYC - Citybridge,40.676409,-73.98029,Outdoor Kiosk,Brooklyn,3
Manhattan,Free,LinkNYC - Citybridge,40.821596,-73.942699,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.837241,-73.942876,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.801949,-73.949259,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.80235,-73.95698,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.818505,-73.941152,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.816446,-73.942649,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.801001,-73.961448,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.820122,-73.943776,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.815376,-73.947503,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.81069,-73.950658,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.805615,-73.950557,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.736141,-73.989183,Outdoor Kiosk,New York,1
Bronx,Free,LinkNYC - Citybridge,40.862051,-73.896079,Outdoor Kiosk,Bronx,2
Queens,Free,LinkNYC - Citybridge,40.766386,-73.920459,Outdoor Kiosk,Queens,4
Brooklyn,Free,LinkNYC - Citybridge,40.673527,-73.950078,Outdoor Kiosk,Brooklyn,3
Manhattan,Free,LinkNYC - Citybridge,40.809186,-73.948591,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.808793,-73.948125,Outdoor Kiosk,New York,1
Bronx,Free,LinkNYC - Citybridge,40.854764,-73.911439,Outdoor Kiosk,Bronx,2
Bronx,Free,LinkNYC - Citybridge,40.816692,-73.919637,Outdoor Kiosk,Bronx,2
Queens,Free,LinkNYC - Citybridge,40.692106,-73.861994,Outdoor Kiosk,Queens,4
Bronx,Free,LinkNYC - Citybridge,40.817141,-73.916208,Outdoor Kiosk,Bronx,2
Bronx,Free,LinkNYC - Citybridge,40.862152,-73.898396,Outdoor Kiosk,Bronx,2
Manhattan,Free,LinkNYC - Citybridge,40.817057,-73.946012,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.816689,-73.946548,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.816298,-73.946558,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.822924,-73.941723,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.809022,-73.948689,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.805792,-73.954263,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.808733,-73.952093,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.811362,-73.95016,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.810989,-73.950711,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.807818,-73.94583,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.808939,-73.948011,Outdoor Kiosk,New York,1
Bronx,Free,LinkNYC - Citybridge,40.81431,-73.930217,Outdoor Kiosk,Bronx,2
Bronx,Free,LinkNYC - Citybridge,40.813595,-73.9304,Outdoor Kiosk,Bronx,2
Bronx,Free,LinkNYC - Citybridge,40.812441,-73.92925,Outdoor Kiosk,Bronx,2
Bronx,Free,LinkNYC - Citybridge,40.812253,-73.928665,Outdoor Kiosk,Bronx,2
Bronx,Free,LinkNYC - Citybridge,40.808544,-73.929074,Outdoor Kiosk,Bronx,2
Manhattan,Free,LinkNYC - Citybridge,40.798786,-73.939765,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.791898,-73.944596,Outdoor Kiosk,New York,1
Staten Island,Free,LinkNYC - Citybridge,40.571437,-74.108959,Outdoor Kiosk,Staten Island,5
Staten Island,Free,LinkNYC - Citybridge,40.571782,-74.108614,Outdoor Kiosk,Staten Island,5
Staten Island,Free,LinkNYC - Citybridge,40.57285,-74.107539,Outdoor Kiosk,Staten Island,5
Staten Island,Free,LinkNYC - Citybridge,40.573466,-74.106917,Outdoor Kiosk,Staten Island,5
Staten Island,Free,LinkNYC - Citybridge,40.575553,-74.104816,Outdoor Kiosk,Staten Island,5
Staten Island,Free,LinkNYC - Citybridge,40.576811,-74.103565,Outdoor Kiosk,Staten Island,5
Staten Island,Free,LinkNYC - Citybridge,40.579634,-74.100652,Outdoor Kiosk,Staten Island,5
Staten Island,Free,LinkNYC - Citybridge,40.579839,-74.100012,Outdoor Kiosk,Staten Island,5
Bronx,Free,LinkNYC - Citybridge,40.843881,-73.91293,Outdoor Kiosk,Bronx,2
Bronx,Free,LinkNYC - Citybridge,40.835133,-73.919797,Outdoor Kiosk,Bronx,2
Bronx,Free,LinkNYC - Citybridge,40.84833,-73.9099,Outdoor Kiosk,Bronx,2
Bronx,Free,LinkNYC - Citybridge,40.86115,-73.8974,Outdoor Kiosk,Bronx,2
Bronx,Free,LinkNYC - Citybridge,40.86487,-73.8928,Outdoor Kiosk,Bronx,2
Bronx,Free,LinkNYC - Citybridge,40.863665,-73.900512,Outdoor Kiosk,Bronx,2
Manhattan,Free,NYPL,40.71333307,-73.99648987,Library,New York,1
Bronx,Free,LinkNYC - Citybridge,40.868698,-73.902101,Outdoor Kiosk,Bronx,2
Bronx,Free,LinkNYC - Citybridge,40.866765,-73.897803,Outdoor Kiosk,Bronx,2
Staten Island,Free,LinkNYC - Citybridge,40.597715,-74.083828,Outdoor Kiosk,Staten Island,5
Staten Island,Free,LinkNYC - Citybridge,40.598002,-74.08305,Outdoor Kiosk,Staten Island,5
Staten Island,Free,LinkNYC - Citybridge,40.581304,-74.11201,Outdoor Kiosk,Staten Island,5
Staten Island,Free,LinkNYC - Citybridge,40.581677,-74.11135,Outdoor Kiosk,Staten Island,5
Staten Island,Free,LinkNYC - Citybridge,40.587385,-74.103708,Outdoor Kiosk,Staten Island,5
Staten Island,Free,LinkNYC - Citybridge,40.589032,-74.101684,Outdoor Kiosk,Staten Island,5
Staten Island,Free,LinkNYC - Citybridge,40.589908,-74.100904,Outdoor Kiosk,Staten Island,5
Staten Island,Free,LinkNYC - Citybridge,40.591436,-74.100862,Outdoor Kiosk,Staten Island,5
Brooklyn,Free,LinkNYC - Citybridge,40.679485,-73.949523,Outdoor Kiosk,Brooklyn,3
Brooklyn,Free,LinkNYC - Citybridge,40.678818,-73.949579,Outdoor Kiosk,Brooklyn,3
Brooklyn,Free,LinkNYC - Citybridge,40.677504,-73.949697,Outdoor Kiosk,Brooklyn,3
Brooklyn,Free,LinkNYC - Citybridge,40.672114,-73.950214,Outdoor Kiosk,Brooklyn,3
Brooklyn,Free,LinkNYC - Citybridge,40.669167,-73.950502,Outdoor Kiosk,Brooklyn,3
Brooklyn,Free,LinkNYC - Citybridge,40.662438,-73.950605,Outdoor Kiosk,Brooklyn,3
Staten Island,Free,LinkNYC - Citybridge,40.564789,-74.115318,Outdoor Kiosk,Staten Island,5
Bronx,Free,LinkNYC - Citybridge,40.842203,-73.916032,Outdoor Kiosk,Bronx,2
Bronx,Free,LinkNYC - Citybridge,40.844258,-73.914961,Outdoor Kiosk,Bronx,2
